REF,status,PaperYear,Title,PaperAuthor,Journal,Animal,Family,Species,ClimaticZone,Climatic ,Habitat,LifeStage,WildType,Development,CO2Treatment,TempTreatment,Stressor ,CO2ppmC,CO2ppmCS.E.,CO2ppmC S.D.,pH scale,pH C,pH C S.E.,pH C S.D.,CO2ppmI,CO2ppmI S.E.,CO2ppmI S.D.,Ph I,Ph I S.E.,Ph I S.D.,TempC,TempC S.E.,TempC S.D.,TempI,TempI S.E.,TempI S.D.,DiffpCO2,DiffT,Other Factor,Metric,TransformedMetric,Metric Type,Unit,Category,Level,ControlMean,ControlMeanTransformed,ControlSE,ControlN,TreatmentMean,TreatmentMeanTransformed ,TreatmentSE,TreatmentN,AcclimationDays,NbTank,ei,vei,Note,,,,,
33,in,2017,,"Legrand E, Riera P, Lutier M, Coudret J, Grall J, Martin S",Biogeosciences,Mollusca,Trochidae,Gibbula magus,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,NA,YES,NO,pH,426,4,NA,total,8.03,0.04,NA,948,9,NA,7.72,0.03,NA,17.1,0.2,NA,17.1,0.2,NA,522,0.0,Summer,Respiration ,Oxygen consumption rate,ambiguous,μmol O2 gDW -1 h-1,Routine respiration,Individual level,-48.67,-48.670000,6.67,5,-48.67,-48.6700000,4.19,5,90,5,0.000,0.0262,,,,,,
33,in,2017,,"Legrand E, Riera P, Lutier M, Coudret J, Grall J, Martin S",Biogeosciences,Mollusca,Trochidae,Gibbula magus,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,NA,YES,YES,TpH,426,4,NA,total,8.03,0.04,NA,879,7,NA,7.74,0.02,NA,17.1,0.2,NA,20.2,0.3,NA,453,3.1,Summer,Respiration ,Oxygen consumption rate,ambiguous,μmol O2 gDW -1 h-1,Routine respiration,Individual level,-48.67,-48.670000,6.67,5,-50.34,-50.3400000,1.68,5,90,5,0.034,0.0199,,,,,,
33,in,2017,,"Legrand E, Riera P, Lutier M, Coudret J, Grall J, Martin S",Biogeosciences,Echinodermata,Parechinidae,Psammechinus miliaris,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,NA,YES,NO,pH,426,4,NA,total,8.03,0.04,NA,948,9,NA,7.72,0.03,NA,17.1,0.2,NA,17.1,0.2,NA,522,0.0,Summer,Respiration ,Oxygen consumption rate,ambiguous,μmol O2 gDW -1 h-1,Routine respiration,Individual level,-5.47,-5.470000,0.31,5,-5.74,-5.7400000,0.45,5,90,5,0.048,0.0094,,,,,,
33,in,2017,,"Legrand E, Riera P, Lutier M, Coudret J, Grall J, Martin S",Biogeosciences,Mollusca,Trochidae,Jujubinus exasperatus,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,NA,YES,YES,TpH,426,4,NA,total,8.03,0.04,NA,879,7,NA,7.74,0.02,NA,17.1,0.2,NA,20.2,0.3,NA,453,3.1,Summer,Respiration ,Oxygen consumption rate,ambiguous,μmol O2 gDW -1 h-1,Routine respiration,Individual level,-18.88,-18.880000,3.35,5,-29.37,-29.3700000,5.03,5,90,5,0.442,0.0608,,,,,,
33,in,2017,,"Legrand E, Riera P, Lutier M, Coudret J, Grall J, Martin S",Biogeosciences,Mollusca,Trochidae,Jujubinus exasperatus,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,NA,YES,NO,pH,426,4,NA,total,8.03,0.04,NA,948,9,NA,7.72,0.03,NA,17.1,0.2,NA,17.1,0.2,NA,522,0.0,Summer,Respiration ,Oxygen consumption rate,ambiguous,μmol O2 gDW -1 h-1,Routine respiration,Individual level,-18.88,-18.880000,3.35,5,-31.46,-31.4600000,3.36,5,90,5,0.511,0.0429,,,,,,
33,in,2017,,"Legrand E, Riera P, Lutier M, Coudret J, Grall J, Martin S",Biogeosciences,Echinodermata,Parechinidae,Psammechinus miliaris,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,NA,YES,YES,TpH,426,4,NA,total,8.03,0.04,NA,879,7,NA,7.74,0.02,NA,17.1,0.2,NA,20.2,0.3,NA,453,3.1,Summer,Net calcification,Calcification rate,positive,μmol CaCO3 gDW -1 h-1,Calcification,Individual level,0.28,0.280000,0.26,5,0.74,0.7400000,0.09,5,90,5,0.972,0.8770,,,,,,
33,in,2017,,"Legrand E, Riera P, Lutier M, Coudret J, Grall J, Martin S",Biogeosciences,Echinodermata,Parechinidae,Psammechinus miliaris,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,NA,YES,NO,pH,426,4,NA,total,8.03,0.04,NA,948,9,NA,7.72,0.03,NA,17.1,0.2,NA,17.1,0.2,NA,522,0.0,Summer,Net calcification,Calcification rate,positive,μmol CaCO3 gDW -1 h-1,Calcification,Individual level,0.28,0.280000,0.26,5,0.91,0.9100000,0.19,5,90,5,1.179,0.9058,,,,,,
33,in,2017,,"Legrand E, Riera P, Lutier M, Coudret J, Grall J, Martin S",Biogeosciences,Echinodermata,Parechinidae,Psammechinus miliaris,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,NA,NO,YES,T,426,4,NA,total,8.03,0.04,NA,432,4,NA,8.01,0.04,NA,17.1,0.2,NA,20.0,0.5,NA,6,2.9,Summer,Net calcification,Calcification rate,positive,μmol CaCO3 gDW -1 h-1,Calcification,Individual level,0.28,0.280000,0.26,5,1.59,1.5900000,0.41,5,90,5,1.737,0.9287,,,,,,
34,in,2020,,"Harrington AM, Harrington RJ, Bouchard DA, Hamlin HJ",Journal of crustacean biology,Arthropoda,Nephropidae,Homarus americanus,Temperate,Temperate,benthic,ADULT,YES,LARVAL,YES,YES,TpH,415,45,NA,NBS,8.08,0.01,NA,1709,50,NA,7.60,0.01,NA,16.1,0.0,NA,20.4,0.0,NA,1294,4.3,Round 1,critical thermal maximum,Critical thermal maximum,positive,Celsius,Physiology,Individual level,27.26,27.260000,0.48,12,23.90,23.9000000,0.80,12,42,4,-0.132,0.0014,,,,,,
34,in,2020,,"Harrington AM, Harrington RJ, Bouchard DA, Hamlin HJ",Journal of crustacean biology,Arthropoda,Nephropidae,Homarus americanus,Temperate,Temperate,benthic,ADULT,YES,LARVAL,YES,NO,pH,415,45,NA,NBS,8.08,0.01,NA,1415,41,NA,7.60,0.01,NA,16.1,0.0,NA,16.1,0.0,NA,1000,0.0,Round 1,critical thermal maximum,Critical thermal maximum,positive,Celsius,Physiology,Individual level,27.26,27.260000,0.48,12,25.80,25.8000000,0.80,12,42,4,-0.055,0.0013,,,,,,
34,in,2020,,"Harrington AM, Harrington RJ, Bouchard DA, Hamlin HJ",Journal of crustacean biology,Arthropoda,Nephropidae,Homarus americanus,Temperate,Temperate,benthic,ADULT,YES,LARVAL,NO,YES,T,415,45,NA,NBS,8.08,0.01,NA,750,47,NA,7.91,0.01,NA,16.1,0.0,NA,20.3,0.0,NA,335,4.2,Round 1,critical thermal maximum,Critical thermal maximum,positive,Celsius,Physiology,Individual level,27.26,27.260000,0.48,12,27.60,27.6000000,0.40,12,42,4,0.012,0.0005,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,NO,pH,371,NA,24,NA,8.06,NA,0.03,978,NA,61,7.67,NA,0.03,12.0,NA,NA,12.0,NA,NA,606,0.0,NA,SFG,scope for growth,positive,J h-1 ind-1,Growth,Individual level,4.03,4.030000,0.13,5,2.84,2.8400000,0.84,4,80,4,-0.350,0.0885,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,NO,pH,371,NA,24,NA,8.06,NA,0.03,978,NA,61,7.67,NA,0.03,12.0,NA,NA,12.0,NA,NA,606,0.0,NA,absorption rate,Feeding,ambiguous,mg-1 ind-1,Behavior,Individual level,0.28,0.280000,0.01,5,0.21,0.2100000,0.03,4,80,4,-0.288,0.0217,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,YES,TpH,371,NA,24,NA,8.06,NA,0.03,1142,NA,69,7.62,NA,0.03,12.0,NA,NA,16.0,NA,NA,771,4.0,NA,oxygen uptake,Oxygen consumption rate,ambiguous,μL h-1 ind-1,Routine respiration,Individual level,78.10,78.100000,6.30,5,59.00,59.0000000,3.50,4,80,4,-0.280,0.0100,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,NO,pH,371,NA,24,NA,8.06,NA,0.03,978,NA,61,7.67,NA,0.03,12.0,NA,NA,12.0,NA,NA,606,0.0,NA,oxygen uptake,Oxygen consumption rate,ambiguous,μL h-1 ind-1,Routine respiration,Individual level,78.10,78.100000,6.30,5,60.60,60.6000000,4.10,4,80,4,-0.254,0.0111,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,NO,pH,371,NA,24,NA,8.06,NA,0.03,657,NA,50,7.84,NA,0.04,12.0,NA,NA,12.0,NA,NA,286,0.0,NA,oxygen uptake,Oxygen consumption rate,ambiguous,μL h-1 ind-1,Routine respiration,Individual level,78.10,78.100000,6.30,5,63.80,63.8000000,4.10,4,80,4,-0.202,0.0106,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,NO,pH,371,NA,24,NA,8.06,NA,0.03,657,NA,50,7.84,NA,0.04,12.0,NA,NA,12.0,NA,NA,286,0.0,NA,SFG,scope for growth,positive,J h-1 ind-1,Growth,Individual level,4.03,4.030000,0.13,5,3.45,3.4500000,0.19,4,80,4,-0.155,0.0041,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,NO,pH,371,NA,24,NA,8.06,NA,0.03,978,NA,61,7.67,NA,0.03,12.0,NA,NA,12.0,NA,NA,606,0.0,NA,absorption efficiency,absorption efficiency,positive,%,Physiology,Individual level,71.10,71.100000,0.30,5,61.60,61.6000000,3.80,4,80,4,-0.143,0.0038,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,NO,pH,371,NA,24,NA,8.06,NA,0.03,657,NA,50,7.84,NA,0.04,12.0,NA,NA,12.0,NA,NA,286,0.0,NA,absorption rate,Feeding,ambiguous,mg-1 ind-1,Behavior,Individual level,0.28,0.280000,0.01,5,0.25,0.2500000,0.01,4,80,4,-0.113,0.0029,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,YES,TpH,371,NA,24,NA,8.06,NA,0.03,773,NA,58,7.78,NA,0.03,12.0,NA,NA,16.0,NA,NA,401,4.0,NA,oxygen uptake,Oxygen consumption rate,ambiguous,μL h-1 ind-1,Routine respiration,Individual level,78.10,78.100000,6.30,5,70.00,70.0000000,0.70,4,80,4,-0.109,0.0066,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,YES,TpH,371,NA,24,NA,8.06,NA,0.03,1142,NA,69,7.62,NA,0.03,12.0,NA,NA,16.0,NA,NA,771,4.0,NA,absorption efficiency,absorption efficiency,positive,%,Physiology,Individual level,71.10,71.100000,0.30,5,65.80,65.8000000,4.50,4,80,4,-0.077,0.0047,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,NO,pH,371,NA,24,NA,8.06,NA,0.03,657,NA,50,7.84,NA,0.04,12.0,NA,NA,12.0,NA,NA,286,0.0,NA,absorption efficiency,absorption efficiency,positive,%,Physiology,Individual level,71.10,71.100000,0.30,5,66.30,66.3000000,1.30,4,80,4,-0.070,0.0004,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,NO,YES,T,371,NA,24,NA,8.06,NA,0.03,440,NA,28,8.00,NA,0.03,12.0,NA,NA,16.0,NA,NA,68,4.0,NA,oxygen uptake,Oxygen consumption rate,ambiguous,μL h-1 ind-1,Routine respiration,Individual level,78.10,78.100000,6.30,5,74.60,74.6000000,5.70,4,80,4,-0.046,0.0123,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,YES,TpH,371,NA,24,NA,8.06,NA,0.03,1142,NA,69,7.62,NA,0.03,12.0,NA,NA,16.0,NA,NA,771,4.0,NA,absorption rate,Feeding,ambiguous,mg-1 ind-1,Behavior,Individual level,0.28,0.280000,0.01,5,0.28,0.2800000,0.01,4,80,4,0.000,0.0026,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,YES,TpH,371,NA,24,NA,8.06,NA,0.03,1142,NA,69,7.62,NA,0.03,12.0,NA,NA,16.0,NA,NA,771,4.0,NA,SFG,scope for growth,positive,J h-1 ind-1,Growth,Individual level,4.03,4.030000,0.13,5,4.03,4.0300000,0.26,4,80,4,0.000,0.0052,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,NO,YES,T,371,NA,24,NA,8.06,NA,0.03,440,NA,28,8.00,NA,0.03,12.0,NA,NA,16.0,NA,NA,68,4.0,NA,absorption efficiency,absorption efficiency,positive,%,Physiology,Individual level,71.10,71.100000,0.30,5,71.50,71.5000000,1.90,4,80,4,0.006,0.0007,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,YES,TpH,371,NA,24,NA,8.06,NA,0.03,773,NA,58,7.78,NA,0.03,12.0,NA,NA,16.0,NA,NA,401,4.0,NA,absorption efficiency,absorption efficiency,positive,%,Physiology,Individual level,71.10,71.100000,0.30,5,74.10,74.1000000,2.50,4,80,4,0.041,0.0012,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,NO,pH,371,NA,24,NA,8.06,NA,0.03,978,NA,61,7.67,NA,0.03,12.0,NA,NA,12.0,NA,NA,606,0.0,NA,ammonia excretion,Excretion,ambiguous,μg NH4-N h-1 ind-1,Physiology,Individual level,2.95,2.950000,0.19,5,3.21,3.2100000,0.10,4,80,4,0.084,0.0051,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,NO,pH,371,NA,24,NA,8.06,NA,0.03,657,NA,50,7.84,NA,0.04,12.0,NA,NA,12.0,NA,NA,286,0.0,NA,ammonia excretion,Excretion,ambiguous,μg NH4-N h-1 ind-1,Physiology,Individual level,2.95,2.950000,0.19,5,3.37,3.3700000,0.18,4,80,4,0.133,0.0070,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,YES,TpH,371,NA,24,NA,8.06,NA,0.03,1142,NA,69,7.62,NA,0.03,12.0,NA,NA,16.0,NA,NA,771,4.0,NA,ammonia excretion,Excretion,ambiguous,μg NH4-N h-1 ind-1,Physiology,Individual level,2.95,2.950000,0.19,5,3.38,3.3800000,0.39,4,80,4,0.136,0.0175,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,NO,YES,T,371,NA,24,NA,8.06,NA,0.03,440,NA,28,8.00,NA,0.03,12.0,NA,NA,16.0,NA,NA,68,4.0,NA,SFG,scope for growth,positive,J h-1 ind-1,Growth,Individual level,4.03,4.030000,0.13,5,4.72,4.7200000,0.42,4,80,4,0.158,0.0090,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,YES,TpH,371,NA,24,NA,8.06,NA,0.03,773,NA,58,7.78,NA,0.03,12.0,NA,NA,16.0,NA,NA,401,4.0,NA,SFG,scope for growth,positive,J h-1 ind-1,Growth,Individual level,4.03,4.030000,0.13,5,4.81,4.8100000,0.36,4,80,4,0.177,0.0066,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,NO,YES,T,371,NA,24,NA,8.06,NA,0.03,440,NA,28,8.00,NA,0.03,12.0,NA,NA,16.0,NA,NA,68,4.0,NA,absorption rate,Feeding,ambiguous,mg-1 ind-1,Behavior,Individual level,0.28,0.280000,0.01,5,0.34,0.3400000,0.01,4,80,4,0.194,0.0021,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,YES,TpH,371,NA,24,NA,8.06,NA,0.03,773,NA,58,7.78,NA,0.03,12.0,NA,NA,16.0,NA,NA,401,4.0,NA,absorption rate,Feeding,ambiguous,mg-1 ind-1,Behavior,Individual level,0.28,0.280000,0.01,5,0.34,0.3400000,0.01,4,80,4,0.194,0.0021,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,NO,YES,T,371,NA,24,NA,8.06,NA,0.03,440,NA,28,8.00,NA,0.03,12.0,NA,NA,16.0,NA,NA,68,4.0,NA,ammonia excretion,Excretion,ambiguous,μg NH4-N h-1 ind-1,Physiology,Individual level,2.95,2.950000,0.19,5,3.72,3.7200000,0.18,4,80,4,0.232,0.0065,,,,,,
35,in,2016,,"Navarro JM, Duarte C, Manriquez PH, Lardies MA, Torres R, Acuna K, Vargas CA, Lagos NA",ICES Journal of Marine Science,Mollusca,Mytilidae,Mytilus chilensis,Temperate,Temperate,benthic,JUVENILE,NO,LARVAL,YES,YES,TpH,371,NA,24,NA,8.06,NA,0.03,773,NA,58,7.78,NA,0.03,12.0,NA,NA,16.0,NA,NA,401,4.0,NA,ammonia excretion,Excretion,ambiguous,μg NH4-N h-1 ind-1,Physiology,Individual level,2.95,2.950000,0.19,5,3.75,3.7500000,0.25,4,80,4,0.240,0.0086,,,,,,
36,in,2011,,"Anlauf H, D´Croz L, O`Dea A",Journal of Experimental Marine Biology and Ecology,Cnidaria,Poritidae,Porites panamensis,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,POSTLARVA,YES,LARVAL,YES,YES,TpH,546,NA,83,NBS,8.08,NA,NA,1006,NA,140,7.81,NA,NA,28.9,NA,NA,29.9,NA,NA,460,1.0,NA,biomass,Weight,positive,µg*polyp-1,Growth,Individual level,18.60,18.600000,1.80,27,10.20,10.2000000,1.40,5,14,5,-0.601,0.0282,,,,,,
36,in,2011,,"Anlauf H, D´Croz L, O`Dea A",Journal of Experimental Marine Biology and Ecology,Cnidaria,Poritidae,Porites panamensis,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,POSTLARVA,YES,LARVAL,YES,YES,TpH,546,NA,83,NBS,8.08,NA,NA,1006,NA,140,7.81,NA,NA,28.9,NA,NA,29.9,NA,NA,460,1.0,NA,skeletal mass,skeletal mass,ambiguous,µg*polyp-1,Growth,Individual level,79.00,79.000000,6.80,27,49.40,49.4000000,6.20,5,13,5,-0.469,0.0232,,,,,,
36,in,2011,,"Anlauf H, D´Croz L, O`Dea A",Journal of Experimental Marine Biology and Ecology,Cnidaria,Poritidae,Porites panamensis,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,pelagic,LARVA,YES,LARVAL,NO,YES,T,487,NA,42,NBS,8.08,NA,NA,493,NA,47,8.07,NA,NA,28.4,NA,NA,29.6,NA,NA,6,1.2,NA,Settlement,Settlement,positive,% total planulae,Development,Population level,46.70,46.700000,6.10,5,30.50,30.5000000,11.30,5,10,5,-0.426,0.1543,,,,,,
36,in,2011,,"Anlauf H, D´Croz L, O`Dea A",Journal of Experimental Marine Biology and Ecology,Cnidaria,Poritidae,Porites panamensis,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,pelagic,LARVA,YES,LARVAL,YES,NO,pH,487,NA,42,NBS,8.08,NA,NA,861,NA,93,7.85,NA,NA,28.4,NA,NA,28.4,NA,NA,374,0.0,NA,Settlement,Settlement,positive,% total planulae,Development,Population level,46.70,46.700000,6.10,5,32.90,32.9000000,6.50,5,10,5,-0.350,0.0561,,,,,,
36,in,2011,,"Anlauf H, D´Croz L, O`Dea A",Journal of Experimental Marine Biology and Ecology,Cnidaria,Poritidae,Porites panamensis,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,pelagic,LARVA,YES,LARVAL,NO,YES,T,487,NA,42,NBS,8.08,NA,NA,493,NA,47,8.07,NA,NA,28.4,NA,NA,29.6,NA,NA,6,1.2,NA,Mortality,Survival,positive,% total planulae,Survival,Population level,45.90,54.100000,4.90,5,61.30,38.7000000,13.40,5,10,5,-0.335,0.1281,,,,,,
36,in,2011,,"Anlauf H, D´Croz L, O`Dea A",Journal of Experimental Marine Biology and Ecology,Cnidaria,Poritidae,Porites panamensis,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,POSTLARVA,YES,LARVAL,NO,YES,T,546,NA,83,NBS,8.08,NA,NA,540,NA,85,8.04,NA,NA,28.9,NA,NA,29.9,NA,NA,-6,1.0,NA,biomass,Weight,positive,µg*polyp-1,Growth,Individual level,18.60,18.600000,1.80,27,14.00,14.0000000,1.00,5,5,5,-0.284,0.0145,,,,,,
36,in,2011,,"Anlauf H, D´Croz L, O`Dea A",Journal of Experimental Marine Biology and Ecology,Cnidaria,Poritidae,Porites panamensis,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,POSTLARVA,YES,LARVAL,YES,NO,pH,546,NA,83,NBS,8.08,NA,NA,926,NA,120,7.83,NA,NA,28.9,NA,NA,28.9,NA,NA,380,0.0,NA,biomass,Weight,positive,µg*polyp-1,Growth,Individual level,18.60,18.600000,1.80,27,14.60,14.6000000,2.40,5,13,5,-0.242,0.0364,,,,,,
36,in,2011,,"Anlauf H, D´Croz L, O`Dea A",Journal of Experimental Marine Biology and Ecology,Cnidaria,Poritidae,Porites panamensis,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,pelagic,LARVA,YES,LARVAL,YES,NO,pH,487,NA,42,NBS,8.08,NA,NA,861,NA,93,7.85,NA,NA,28.4,NA,NA,28.4,NA,NA,374,0.0,NA,Mortality,Survival,positive,% total planulae,Survival,Population level,45.90,54.100000,4.90,5,56.00,44.0000000,18.70,5,10,5,-0.207,0.1888,,,,,,
36,in,2011,,"Anlauf H, D´Croz L, O`Dea A",Journal of Experimental Marine Biology and Ecology,Cnidaria,Poritidae,Porites panamensis,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,POSTLARVA,YES,LARVAL,YES,NO,pH,546,NA,83,NBS,8.08,NA,NA,926,NA,120,7.83,NA,NA,28.9,NA,NA,28.9,NA,NA,380,0.0,NA,skeletal mass,skeletal mass,ambiguous,µg*polyp-1,Growth,Individual level,79.00,79.000000,6.80,27,72.10,72.1000000,8.20,5,13,5,-0.091,0.0203,,,,,,
36,in,2011,,"Anlauf H, D´Croz L, O`Dea A",Journal of Experimental Marine Biology and Ecology,Cnidaria,Poritidae,Porites panamensis,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,pelagic,LARVA,YES,LARVAL,YES,YES,TpH,487,NA,42,NBS,8.08,NA,NA,950,NA,94,7.83,NA,NA,28.4,NA,NA,29.5,NA,NA,463,1.1,NA,Settlement,Settlement,positive,% total planulae,Development,Population level,46.70,46.700000,6.10,5,45.90,45.9000000,12.60,4,10,5,-0.017,0.0924,,,,,,
36,in,2011,,"Anlauf H, D´Croz L, O`Dea A",Journal of Experimental Marine Biology and Ecology,Cnidaria,Poritidae,Porites panamensis,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,POSTLARVA,YES,LARVAL,NO,YES,T,546,NA,83,NBS,8.08,NA,NA,540,NA,85,8.04,NA,NA,28.9,NA,NA,29.9,NA,NA,-6,1.0,NA,skeletal mass,skeletal mass,ambiguous,µg*polyp-1,Growth,Individual level,79.00,79.000000,6.80,27,85.80,85.8000000,9.00,5,5,5,0.083,0.0184,,,,,,
